source_db_id;source_schema_name;source_table_name;target_db_id;target_schema_name;target_table_name;source_insert_id_colname;source_last_updated_on_colname;is_static_support_table;can_insert_rows;can_update_rows;can_delete_rows;mirror_algorithm_id;mirror_tables;compare_tables;mark_rows_for_deletion_algorithm_id;delete_marked_rows_algorithm_id;mark_rows_for_deletion;delete_marked_rows;row_can_be_deleted_from_seconds;can_delete_row_schema_name;can_delete_row_table_name;delete_marked_rows_table_order
10;obo;account_status_list;20;obo;;account_status_list_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;;;
10;obo;account_status_list_datamap;20;obo;;;;N;Y;N;Y;4;Y;Y;0;0;N;N;;;;
10;obo;action_list_lookup_log;20;obo;;alll_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;;;
10;obo;action_list_type;20;obo;;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;;;
10;obo;actionlists_restreq_tracking;20;obo;;request_tracking_id;;N;Y;Y;Y;1;Y;Y;0;0;N;N;;;;
10;obo;actionlists_restreq_type;20;obo;;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;;;
10;obo;actionlists_restres_error_details;20;obo;;rred_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;;;
10;obo;actionlists_restres_subcode;20;obo;;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;;;
10;obo;analysis_detailed_results;20;obo;;analysis_detailed_result_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;;;
10;obo;analysis_queue;20;obo;;analysis_queue_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;;;
10;obo;analysis_queue_status;20;obo;;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;;;
10;obo;analysis_queue_type;20;obo;;;;Y;Y;N;N;4;Y;Y;0;0;N;N;;;;
10;obo;analysis_request;20;obo;;analysis_request_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;;;
10;obo;analysis_request_status;20;obo;;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;;;
10;obo;analysis_request_type;20;obo;;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;;;
10;obo;analysis_result_status;20;obo;;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;;;
10;obo;analysis_result_type;20;obo;;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;;;
10;obo;analysis_results;20;obo;;analysis_result_id;last_updated_on;N;Y;Y;N;2;Y;Y;0;0;N;N;;;;
10;obo;applied_rating_detail_data;20;obo;;ardd_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;;;
10;obo;authenticator_verification_status;20;obo;;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;;;
10;obo;camera_register;20;obo;;camera_id;last_updated_on;N;Y;Y;N;2;Y;Y;0;0;N;N;;;;
10;obo;camera_status;20;obo;;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;;;
10;obo;camera_type;20;obo;;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;;;
10;obo;cc_processing_queue;20;obo;;cc_processing_queue_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;;;
10;obo;compliance_case_cbo_status;20;obo;;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;;;
10;obo;compliance_case_completion_category;20;obo;;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;;;
10;obo;compliance_case_contact_info;20;obo;;ccci_id;last_updated_on;N;Y;Y;N;2;Y;Y;0;0;N;N;;;;
10;obo;compliance_case_dms_records;20;obo;;ccdmsr_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;;;
10;obo;compliance_case_eph_status;20;obo;;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;;;
10;obo;compliance_case_event_queue;20;obo;;cceq_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;;;
10;obo;compliance_case_event_type;20;obo;;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;;;
10;obo;compliance_case_log;20;obo;;cclog_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;;;
;;;;;;;;;;;;;;;;;;;;;;
10;obo;compliance_case_publishing_queue;20;obo;;compliance_case_publishing_queue_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;;;
;;;;;;;;;;;;;;;;;;;;;;
10;obo;compliance_case_status;20;obo;;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;;;
10;obo;compliance_case_type;20;obo;;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;;;
10;obo;compliancecase_restreq_tracking;20;obo;;request_tracking_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;;;
10;obo;compliancecase_restreq_type;20;obo;;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;;;
10;obo;compliancecase_restres_error_details;20;obo;;rred_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;;;
10;obo;compliancecase_restres_subcode;20;obo;;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;;;
10;obo;config_allowed_status_list_reason_codes;20;obo;;caslrc_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;;;
10;obo;config_valid_roads;20;obo;;config_valid_roads_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;;;
10;obo;control_point_event_capture_category;20;obo;;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;;;
10;obo;control_point_event_info_flags;20;obo;;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;;;
10;obo;control_sites;20;obo;;control_site_id;last_updated_on;Y;Y;Y;N;4;Y;Y;0;0;N;N;;;;
10;obo;cop_emissions_code;20;obo;;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;;;
10;obo;cso_reference_type;20;obo;;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;;;
10;obo;dadd_restreq_tracking;20;obo;;request_tracking_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;;;
10;obo;dadd_restreq_type;20;obo;;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;;;
10;obo;dadd_restres_error_details;20;obo;;rred_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;;;
10;obo;dadd_restres_subcode;20;obo;;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;;;
10;obo;data_aggregator_processing_statistics;20;obo;;daps_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;;;
;;;;;;;;;;;;;;;;;;;;;;
10;obo;data_signing_key_register;20;obo;;key_reference_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;;;
10;obo;database_patch_log;20;obo;;database_patch_log_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;;;
10;obo;datamodel_type;20;obo;;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;;;
10;obo;datamodel_version_tracking;20;obo;;dmvt_id;last_updated_on;N;Y;Y;N;2;Y;Y;0;0;N;N;;;;
10;obo;datamodels;20;obo;;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;;;
10;obo;dsrc_data_actionlist_matches;20;obo;;dsrcdalm_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;;;
10;obo;dsrc_data_authenticator;20;obo;;dda_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;;;
